sort_order,code,name,school,department,level,examino,didactivities_name1,didactivities_hours1,didactivities_ects1,didactivities_name2,didactivities_hours2,didactivities_ects2,type,prereq,prereq_knowledge,lang,erasmus,website,learn_objectives,skills,subject1,subject2,subject3,teaching_way,techs_used,task1,hours1,task2,hours2,task3,hours3,task4,hours4,task5,hours5,hours_sum,grading,refs_books,refs_more_title,refs_more,to_be_updated_by
28,ΥΔΡ003,Hydraulics,Engineering,Civil Engineering,Undergraduate,5th,,4,5,,,,Scientific Field,,,Greek,Yes,,Upon completing this course students should be able to recognize the basic rules governing hydraulic flow in civil engineering systems related to water distribution in open channels and closed pipes.,"The course contributes to the following skills:
_Search for, analysis and synthesis of data and information
_Decision-making
_Working independently
_Respect for the natural environment
_Production of free, creative and inductive thinking.
","Description of the fundamental principles of water behavior and introduction to the topics of flow in open channels and closed pipes. Introduction to methods for the hydraulic analysis and design of water networks
 
 Content of theory lectures:
 • Physical and mechanical properties of soils.
 • Laboratory measurements and field tests.
 • Water flow in porous soils and its effect on he mechanical behavior of the soil.
 • Soil stresses and deformations.
 • Shear strength of soil.
 • Stability of soil slopes.
 
 ",,,Face to face,"Learning process support (teaching and communication with students) through PowerPoint lectures, through the online course website, through the electronic e-learning platform and through additional electronic communication with students (online announcements and comments, emails, etc.). Additional material (lecture presentations, educational videos, useful sites, and scientific articles) posted on the e-learning platform. Teacher-student collaboration time either in person or via teleconference.",Lectures,32,Practice/exercises,10,Practice/exercises,10,Project(s),10,Individual study,68,130,"Language of Evaluation: Greek.
Written test with extended answer questions (formative and/or inferential).
Theory assessment (90% of the final grade):
•        A written progress examination (30% of the final grade) including:
_Theoretical Extended Response Questions (formative and/or inferential)
_Problem-solving exercises.
•        Written final examination (60% of the final grade) including:
_Theoretical extended response questions (formative and/or inferential)
_Problem-solving exercises.
Laboratory assessment (10% of the final grade):
•        Written assignment on laboratory exercises.
The present course description with the assessment criteria is accessible to students in the Departmental study guide (Departmental website) and on the course website.
The outline is communicated orally to students during the first lecture.","• [In Greek] Πρίνος Παναγιώτης, Υδραυλική Κλειστών και Ανοικτών Αγωγών, Εκδόσεις Ζήτη, 2013, ISBN: 978-960-456-344-9. Κωδικός Βιβλίου στον Εύδοξο: 22767973
• [In Greek] Λιακόπουλος Αντώνης, Υδραυλική, Εκδόσεις ΤΖΙΟΛΑ, 2020 (3η έκδοση), ISBN: 978-960-418- 775-1. Κωδικός Βιβλίου στον Εύδοξο: 77107649
• [In Greek] Στάμου Αναστάσιος, Εφαρμοσμένη Υδραυλική, Εκδόσεις Παπασωτηρίου, 2016 (3η έκδοση), ISBN: 978-960-491-109-7. Κωδικός Βιβλίου στον Εύδοξο: 59397206
• [In Greek] Σούλης Ιωάννης, ΥΔΡΑΥΛΙΚΗ, Εκδόσεις ΧΑΡΑΛΑΜΠΟΣ ΝΙΚ. ΑΪΒΑΖΗΣ, 2012, ISBN: 978-960- 549-001-0. Κωδικός Βιβλίου στον Εύδοξο: 22714197
• [In Greek] Δημητρακόπουλος Αλέξανδρος, ΣΤΟΙΧΕΙΑ ΥΔΡΑΥΛΙΚΗΣ ΚΛΕΙΣΤΩΝ ΚΑΙ ΑΝΟΙΚΤΩΝ ΑΓΩΓΩΝ, Εκδόσεις GOTSIS, 2018, ISBN: 978-960-9427-72-2. Κωδικός Βιβλίου στον Εύδοξο: 77119353",,,ΜΙΧΑΗΛΙΔΗΣ - ΔΑΝΙΗΛ
29,ΔΟΜ011,"Urban planning, urban space & implementation of building regulations",Engineering,Civil Engineering,Undergraduate,5th,,4,5,,,,Scientific Field,,,Greek,No,https://elearning.cm.ihu.gr/course/view.php?id=739,"Upon completing this course students should be able to:
•        Recognize and define Urban Planning and Urban Design concepts - Understand and use of the relevant terminology – Analyze small urban areas. 
•        Understand the purpose of and be able to apply basic Building Regulations connected to Urban Planning and the urban space formation and production in the contemporary Greek city.
•        Design (preliminary level – scale 1:100) an urban apartment building of medium architectural complexity, in accordance with the implementation of Regulations: real time data regarding legislation and the site. Also, optimize the configuration of the uncovered area at ground floor level, with a focus on neighborhood sustainability issues. 
•        Evaluate buildings’ and urban areas’ problems connected with the implementation (or poor implementation) of Urban Planning civic rules and legislation. Provide solutions/ improvement proposals that give incentives for the sustainability of small urban areas and the Greek city.
•        Participate in urban planning upgrading task-groups of engineers, aiming at rehabilitating existing parts of the city.","The course contributes to the following skills:
_Search for, analysis and synthesis of data and information, with the use of the necessary technology 
_Adapting to new situations 
_Decision-making 
_Working independently 
_Team work
_Working in an interdisciplinary environment 
_Project planning and management
_Respect for difference and multiculturalism 
_Respect for the natural environment
_Criticism and self-criticism
_Production of free, creative and inductive thinking","The course introduces students to basic concepts of Urban Planning, focusing on the scale of urban space and the objectives of Urban Design. This point of view is also enhanced with aspects of the relevant legislation, as an attempt to connect the public space of the Greek city (form, function, development) with regulations that determine its production in recent decades. Urban phenomena are examined on the basis of sustainability, starting macroscopically and gradually approaching the scale of urban units and buildings.",,,Face to face,"Powerpoint presentations, E-learning platform for educational material. ",Lectures,,Practice/exercises,,Project(s),,Individual study,,,,130,"The evaluation of the students is made up of the following:
A. Performance in final written exam: 50% of the final grade,
B. Quality of exercises, assignments, and design projects (developed during the semester): 40% of the final grade,
C. Participation in the course procedures (i.e. oral participation, meeting deadlines for handing in written work): 10% of the final grade. 
The evaluation criteria are listed in the introductory handout of the course, which is posted on the e-learning platform in the beginning of the semester and is also distributed and presented to the students during the 1st class meeting.","_Aravantinos, Athanasios, 2007. Urban Planning (2nd revised edition). Athens: Simmetria Editions [in Greek].
_Andrikopoulou, Eleni, Giannakou, Athina, Kafkalas, Grigoris, Pitsiava-Latinopoulou, Magda, 2014. City and urban planning practices (2nd revised edition). Athens: Kritiki Editions [in Greek].
_Melissas, Dimitrios, 2015 (3rd ed.). New building regulations (Law 4067/2012) – Interpretation of each article. Athens: Sakkoulas Editions [in Greek].
_Moshaki, Evdokia & Mara, Sofia, 2016 (5th ed.). New Building Regulations: The law 4067/2012 as updated and validated in present. Athens: Dedemadis Editions [in Greek].
_Siolas, A., Vassi, A., Vlastos, T., Kyriakidis, X., Siti, M., Bakogiannis, E., 2015. Methods, applications and tools of urban planning. [e-book]. Athens: Association of Greek Academic Libraries (Kallipos). Available at: http://hdl.handle.net/11419/5409 [in Greek].",,,ΔΑΝΙΗΛ
30,ΣΥΓ004,Highway Engineering I,Engineering,Civil Engineering,Undergraduate,5th,,4,5,,,,Scientific Field,,,Greek,No,https://elearning.cm.ihu.gr/course/view.php?id=743,"Upon completing this course students should be able to recognize basic principles of geometric design of roads, familiarize with road design guidelines and standards, to analyze, judge and synthesize different criteria of road design and to implement all the above through relative applications.","The course contributes to the following skills:
_Search for, analysis and synthesis of data and information, with the use of the necessary technology 
_Adapting to new situations 
_Decision-making
_Working independently
_Project planning and management 
_Respect for the natural environment.",Course presentations: • Introduction. Design and construction of road projects. • Regulations. Design procedure and methodology. • Basic concepts and definitions. • Road safety by design (criteria). • Start of road design. • Horizontal alignment. • Vertical alignment. Super elevation diagrams. • Cross sections. • Road widening study. • Visibility study,,,Face to face,"Powerpoint presentations, E-learning platform for educational material. ",Lectures,52,Individual study,52,Project(s),26,,,,,130,"Final written exam (100%) which includes:
- Open ended questions 
- Problem solving questions (exercises)
OR 
Final written exam (70%) + Optional individual assignment (30%). 

The evaluation criteria are presented in the 1st lecture of the semester to all students. Furthermore, each student can see his graded exam/ written assignment paper and talk on the analysis of his written performance with the professor.","•	[In Greek] Αποστολέρης, Α.Κ. (2015). Οδοποιία Ι – Χαράξεις και Υπολογισμός Χωματισμός, Θεωρία και Πρακτική. Αναστάσιος Κ. Αποστολέρης, ΑΠΟΣΤΟΛΕΡΗΣ ΚΑΙ ΣΙΑ Ο.Ε., ISBN: 9789609371735.
•	[In Greek] Κοφίτσας, Ι.Δ. (2009). Στοιχεία Οδοποιίας. Ίων, ΣΤΕΛΛΑ ΠΑΡΙΚΟΥ & ΣΙΑ ΟΕ, ISBN: 978-960- 411-185-5.
•	[In Greek] Natzschka, H. (2014). Οδοποιία: Σχεδιασμός και Κατασκευή. ΕΚΔΟΣΕΙΣ ΚΛΕΙΔΑΡΙΘΜΟΣ ΕΠΕ, ISBN: 978-960-461-583-4.
•	[In Greek] Οδηγίες Μελετών Οδικών Έργων, Τεύχος 1: Λειτουργική Κατάταξη Οδικού Δικτύου (ΟΜΟΕ- ΛΚΟΔ), ΥΠΕΧΩΔΕ, ΓΓΔΕ/ΔΜΕΟ, Έκδοση: 30/01/2001.
•	[In Greek] Οδηγίες Μελετών Οδικών Έργων, Τεύχος 2: Διατομές (ΟΜΟΕ-Δ), ΥΠΕΧΩΔΕ, ΓΓΔΕ/ΔΜΕΟ, Έκδοση: 30/01/2001.
•	[In Greek] Οδηγίες Μελετών Οδικών Έργων, Τεύχος 3: Χαράξεις (ΟΜΟΕ-Χ), ΥΠΕΧΩΔΕ, ΓΓΔΕ/ΔΜΕΟ, Έκδοση: 30/01/2001.
•	[In Greek] Οδηγίες Μελετών Οδικών Έργων, Τεύχος 4: Κύριες Αστικές Οδοί (ΟΜΟΕ-ΚΑΟ), ΥΠΕΧΩΔΕ, ΓΓΔΕ/ΔΜΕΟ, Έκδοση: 30/01/2001.
•	[In Greek] Οδηγίες Μελετών Οδικών Έργων, Τεύχος 5: Πρόσθετες Λωρίδες Κυκλοφορίας (ΟΜΟΕ-ΠΛΚ), ΥΠΕΧΩΔΕ, ΓΓΔΕ/ΔΜΕΟ, Έκδοση: 30/01/2001.",,,ΓΑΛΑΝΗΣ - ΔΑΝΙΗΛ - ΒΛΑΧΟΝΑΣΙΟΥ
31,ΔΟΜ014,Structural Analysis II – Indeterminate structures,Engineering,Civil Engineering,Undergraduate,5th,,4,5,,,,Scientific Field,,,Greek,No,http://elearning.teicm.gr/course/view.php?id=228,"Comprehend the degree of indeterminacy. Analyse statically indeterminate structures. Compute, displacements and rotations. Determine the influence of temperature changes  and support movements on structural response","-Search for, analysis and synthesis of data and information, with the use of the necessary technology 
-Adapting to new situations 
-Decision-making 
-Working independently 
-Team work
-Working in an interdisciplinary environment 
-Project planning and management 
-Criticism and self-criticism 
-Production of free, creative and inductive thinking","Introduction to statically indeterminate structures. Differences between statically determinate and indeterminate structures
Deformation Method (Method of Nodal Displacements). Application to plane structures. Symmetry of structures and loading.Support retreat, settlements, elastic supports, thermal loads.
Force Method. Application to plane structures, frames and trusses. Comparison to the Deformation Method 
Influence lines of indeterminate structures. Müller-Breslau Principle. Computation of the extreme response values.",,,Face to face,"Communication via e-mail and Zoom platform.
Additional material is provided via a dedicated e-learning  website.",Lectures,40,Practice/exercises,12,Individual study,78,,,,,130,"Formative evaluation consisted of: 
1.Non-compulsory intermediate tests (2 to 3 in total) focused on solving problems (30% of final mark)
2. Final written exams that includes: a. Theoretical questions of knowledge and critical thinking and b .Solving of problems-exercises (70% of final mark)","Ghaliand, A. and Neville, A.M.(1989), Structural Analysis, a unified classical and and Matrix Approach, Chapman and Hall.
Hibbeler R.C. (2002), Structural Analysis, Prentice Hall.
W.Wagner and G. Erlhog (2012), Applied Statics, ΚΛΕΙΔΑΡΙΘΜΟΣ publication (Greek translation from German).",,,ΚΟΛΙΟΠΟΥΛΟΣ
32,ΔΟΜ013,Reinforced Concrete II,Engineering,Civil Engineering,Undergraduate,5th,,4,5,,,,Scientific Field,,,Greek,No,https://elearning.cm.ihu.gr/course/view.php?id=773,"Upon successful completion of the course, students will be able to:
1. Calculate loads and element forces in reinforced concrete slabs and transfer loads from slabs to beams.
2. Recognize the types of slabs and dimension one-way or two-way supported slabs according to Eurocode 2.
3. Dimension linear elements of reinforced concrete in torsion according to Eurocode 2.
4. Model reinforced concrete frame structures using finite element analysis software for appropriate combinations of loads in ultimate and serviceability limit states and calculate the envelopes of element forces
5. Draw the construction plan with the developments and reinforcement details of the reinforced concrete elements.","- Search for, analysis and synthesis of data and information, with the use of the necessary technology 
- Adapting to new situations 
- Decision-making 
- Working independently 
- Team work
- Working in an interdisciplinary environment 
- Project planning and management 
- Criticism and self-criticism 
- Production of free, creative and inductive thinking","• Reinforced concrete slabs. Types of slabs and design of simply and cross-reinforced slabs.
 • Load-balancing method. Resolution of slabs using the Czerny tables.
 • Strip method. Resolution of slabs using the Markus tables.
 • Design in torsion.
 • Load combinations for gravity and seismic actions. Alternating loads and stress envelopes.
 • Dimensioning of linear reinforced concrete elements (beams/columns) for gravity and seismic actions.
 • Simulation of a reinforced concrete frame in a finite element program. Calculation of stress envelopes. Dimensioning.
 • Construction plan. Reinforcement details.",,,Face to face,,Lectures,26,Practice/exercises,26,Project(s),20,Individual study,58,,,130,"1. Assignment of tasks aimed at exploring the understanding of the concepts taught (30%).
2. Final written exam (in Greek) at the end of the semester (70%).
3. Each student is given the opportunity to review their written exam and have their mistakes analyzed.","Penelis G., Stylianidis K., Kappos A., Ignatakis Ch., Design of Reinforced Concrete Structures According to the New Concrete and Seismic Codes, AUTh publ., 1995 (in Greek)
Tsonos A.D., Design of Reinforced Concrete Structures according to the Eurocodes, Sofia publ., 2016 (in Greek)
Georgopoulos Th., Reinforced Concrete vol. I, Georgopoulos publ., 2015 (in Greek)
Georgopoulos Th., Reinforced Concrete vol. II, Georgopoulos publ., 2015 (in Greek)
Zararis P., Reinforced Concrete Calculation Methods, Kyriakidis publ., 2002 (in Greek)",,,Παναγόπουλος
33,ΓΕΩ003,Soil mechanics ΙI,Engineering,Civil Engineering,Undergraduate,5th,,4,5,,,,Scientific Field,,,Greek,No,https://elearning.cm.ihu.gr/course/view.php?id=428,"The aim of the course is to help the student understand the basic principles of Soil Mechanics, to consolidate knowledge regarding the behavior of the “soil” as a civil engineering material and to develop the ability to computationally address basic problems in classic applications of Soil Mechanics. Upon successful completion of the course, the student will be able to:
 • Recognize and understand the basic characteristics of the behavior of different types of soils.
 • Distinguish and comprehend the parameters related to the bearing capacity of the soil and to the developing settlements in the soil.
 • Calculate the bearing capacity of the soil as well as the developing settlements in the case of surface foundations.
 • Calculate the horizontal soil stresses and earth pressures.
 • Combine the individual soil properties and characteristics and be able to differentiate and adapt estimation and computation procedures based on the particular parameters of each examined case study.
 • Synthesize solutions based on the theories that have been taught, evaluating the requirements of the problem at hand, being able to support the proposed solutions, and compare by choosing the most appropriate among different approaches.","The course contributes to the following skills:
• Search, analysis and synthesis of data and information
• Decision-making
• Working independently
• Project planning
• Self awareness excercise","Examination of soil behavior as a material involved in Civil Engineering constructions with the aim of solving problems related to soil bearing capacity, developing settlements as well as lateral earth pressures. Content of theory lectures and practical exercises:
 • Influence of external loads on developing soil stresses.
 • Bearing capacity of soil in shallow foundations.
 • Settlements of granular and cohesive soils, soil consolidation.
 • Behavior of soils under drained and undrained conditions.
 • Earth pressures and retaining structures.
 • Introduction to the current regulatory framework (Eurocode 7).",,,Face to face,"Lecture presentations using computer and projector, in person or by teleconference (remotely) if required.
 Support of the learning process through the e-learning platform and electronic communication with students (online announcements and comments, e-mail, announcements on the Department's website etc.). If required, support of students by using teleconference tools and software.",Lectures,26,Practice/exercises,26,Practice/exercises,30,Individual study,48,,,130,"Written final examination including:
• Short answer and Multiple Choice Theoretical Questions (Formative and/or Inferential)
• Solving problems-exercises 
Written assignments and oral examination including:
• Solving problems-exercises
• Assessment of knowledge on basic subjects of the course","• [In Greek] Γεωργιάδης Κ., Γεωργιάδης Μ. (2009), ""Στοιχεία Εδαφομηχανικής"", Εκδόσεις ΖΗΤΗ, Θεσσαλονίκη, ISBN: 978-960-456-157-5
• [In Greek] Barnes G.E. (2014), ""Εδαφομηχανική: Αρχές και Εφαρμογές (3η έκδοση)"", Εκδόσεις Κλειδάριθμος, Αθήνα, ISBN: 978-960-461-578-0
• [In Greek] Καββαδάς Μ. (2016), ""Στοιχεία Εδαφομηχανικής (2η έκδοση)"", Εκδόσεις Τσότρας, ISBN: 978-618-5066-62-8
• Das B.M. (2019), ""Advanced Soil Mechanics"", Taylor and Francis (5th edition), New York.
• Verruijt A. (2018), ""An Introduction to Soil Mechanics"", Springer
• [In Greek] Budhu Μ. (2020), ""Εδαφομηχανική και Θεμελιώσεις"", Εκδόσεις Gotsis, Πάτρα, ISBN: 978- 960-9427-90-6",,,ΚΙΡΤΑΣ + ΔΑΝΙΗΛ
34,ΔΟΜ016,Steel Structures I,Engineering,Civil Engineering,Undergraduate,6th,,4,4,,,,Scientific Field,,,Greek,No,https://elearning.cm.ihu.gr/course/view.php?id=863,"Upon the successful completion of the course the students are anticipated to: 
- Understand the load resisting mechanisms in typical steel structures;  
- Understand and analyse the mechanical behaviour of beam-type steel members; 
- Identify possible failure mechanisms; 
- Check and design steel members according to the Eurocode 3 provisions.



","- Search, analysis and synthesis of information and data using the appropriate technology 
- Decision making 
- Student individual project 
- Project planning and management 
- Criticism and self-criticism 
- Production of free, creative and inductive thinking
","Structural steel: mechanical properties and typical structural applications. Structural analysis and Eurocode 3 provisions for the design of steel structures. Load combinations. Ultimate and serviceability limit states. Local buckling and cross-section classification. Resistance of steel cross-sections and steel members under tension, compression, bending, shear and combined action effects. Buckling resistance of steel members. Flexural and lateral-torsional buckling. Structural layouts and load resisting mechanisms of typical steel structures. ",,,Face to face,,Lectures,42,Individual study,62,,,,,,,104,"Formative evaluation consisting of: 
- Non-compulsory homework exercises focusing on problem solving 
- Final written exams comprising problem-solving questions
","- Vayas, I., Ermopoulos, J., Ioannidis, G. 2005. Design of steel structures – According to the final version of Eurocodes. Publisher: Κλειδάριθμος, ISBN: 978-960-461-582-7 (in Greek)
- Baniotopoulos, C.K. 2009. Steel structures – Design principles according to Eurocode 3. Publisher: Ζήτη, ISBN: 978-960-456-184-1 (in Greek)
- Baniotopoulos, C.K. & Nikolaidis, T.N. 2012. Steel structures, Design examples according to Eurocode 3. Publisher: Ζήτη, ISBN: 978-960-456-323-4 (in Greek)
- Aldinger, E., Baumann, G., Ignatowitz, E. 1995. Steel Structures. Publisher: Ευρωπαϊκές Τεχνολογικές Εκδόσεις, ISBN: 9789603310358 (in Greek)
- Lammlin, G., 2010. Metal structures. Publisher: ΙΩΝ, ΙSBN: 978-960-331-469-1 (in Greek)
- Pavlou, G. D. Steel structures, 2014. Publisher: ΙΩΝ, ISBN: 978-960-508-136-2 (in Greek)
- Giannopoulos A.C. Metal structures, 2005. Publisher: Gotsis, ISBN:9789604115259 (in Greek)",,,ΚΑΖΑΝΤΖΗ
35,ΓΕΩ004,Foundations & Retaining Walls,Engineering,Civil Engineering,Undergraduate,6th,,4,5,,,,Scientific Field,,,Greek,No,https://elearning.cm.ihu.gr/course/view.php?id=711 ,"The aim of the course is to help the student understand the theoretical principles in the subjects of Foundations and Retaining Structures and the ability to computationally address basic problems in classic applications of Foundations. Upon successful completion of the course, the student will be able to:
 • Recognize, understand and evaluate the basic physical and mechanical parameters of soil and construction related to the study and analysis of foundations and retaining walls.
 • Distinguish and understand the different foundation cases, as well as the type and behavior of retaining structures.
 • Study a single shallow foundation by investigating in detail, based on the existing regulatory framework, the required failure checks in bearing capacity, settlements, overturning, sliding, uplift, bending, shearing and punching. Also, calculate the required reinforcement (foundation detailing).
 • Estimate the developing forces and design the foundation tie-beams.
 • Calculate bearing capacity of piles and pile settlement.
 • Calculate the earth pressures and design a retaining wall.
 • Synthesize solutions based on the course contents, evaluating the requirements of the problem at hand, support the proposed solutions and compare and choose the most suitable between different approaches.","• Search, analysis and synthesis of information and data
 • Decision making 
 • Working independently 
 • Project planning","Study, analysis and design of various types of foundations (reinforced concrete shallow and deep foundations) and retaining walls. It includes the computation of internal forces, the calculation of the loading at foundation level and the required procedure to determine the reinforcement and configuration of the examined structural elements based on the current code regulations.
 
 Content of theory lectures and practical exercises:
 • Relation to Soil Mechanics (soil characteristics, soil stresses, soil bearing capacity and settlements, based on literature formulas and code regulations).
 • Study of shallow foundations and theoretical application in the design of surface footings. Detailed application to individual footings including the description of design rules, footing stability checks (overturning, sliding, uplift), foundation soil bearing capacity and settlement checks, and design of concrete footings (in bending, shearing, punching) including calculation of required reinforcement.
 • Study and design of foundation tie-beams.
 • Study of bearing capacity and settlement of pile foundations (individual piles and pile group).
 • Study and design of reinforced concrete retaining walls.",,,Face to face,"Lecture presentations using computer and projector, in person or by teleconference (remotely) if required.
Support of the learning process through the e-learning platform and electronic communication with students (online announcements and comments, e-mail, announcements on the Department's website etc.). If required, support of students by using teleconference tools and software.",Lectures,26,Practice/exercises,26,Practice/exercises,30,Individual study,48,,,130,"Written final examination including:
• Theoretical knowledge and judgment questions on course subjects
• Solving problems-exercises
Written assignments (submitted in stages) and oral examination including:
• Processing and solving exercises-problems of foundations and retaining walls
• Assessment of understanding of key concepts of the course","• [In Greek] Αναγνωστόπουλος Χ., Χατζηγώγος Θ., Αναστασιάδης Α., Πιτιλάκης Δ. (2012), ""Θεμελιώσεις- Αντιστηρίξεις και Γεωτεχνικά Έργα"", Εκδόσεις Αϊβάζης, Θεσσαλονίκη, ISBN: 978-960-549- 000-3
• [In Greek] Γεωργιάδης Κ., Γεωργιάδης Μ. (2009), ""Στοιχεία Εδαφομηχανικής"", Εκδόσεις ΖΗΤΗ, Θεσσαλονίκη, ISBN: 978-960-456-157-5
• [In Greek] Αναγνωστόπουλος Α., Παπαδόπουλος Β., (2019), ""Σχεδιασμός των Θεμελιώσεων"", Εκδόσεις Συμεών, ISBN: 978-960-9400-50-3
• [In Greek] Κωμοδρόμος Α.Μ. (2019),""Θεμελιώσεις, Αντιστηρίξεις: οριακή ισορροπία – αριθμητικές μέθοδοι (2η έκδοση)"", Εκδόσεις Κλειδάριθμος, ISBN: 978-960-461-952-8
• [In Greek] Αναγνωστόπουλος Α., Καββαδάς Μ., Παπαδόπουλος Β. (2009), ""Σημειώσεις για τον Ευρωκώδικα 7 (EN 1997)"", Τεχνικό Επιμελητήριο Ελλάδος, Αθήνα
• [In Greek] Καββαδάς Μ. (2005), ""Σημειώσεις Θεμελιώσεων Τεχνικών Έργων"", Ε.Μ. Πολυτεχνείο, Πανεπιστημιακές Εκδόσεις
• [In Greek] Γραμματικόπουλος Γ., Μάνου-Ανδρεάδου Ν., Χατζηγώγος Θ. (2015), ""Εδαφομηχανική: ασκήσεις και προβλήματα (2η έκδοση)"", Αφοι Κυριακίδη, Θεσσαλονίκη, ISBN: 978-618- 5105-87-7
• [In Greek] Barnes G.E. (2014), ""Εδαφομηχανική: Αρχές και Εφαρμογές (3η έκδοση)"", Εκδόσεις Κλειδάριθμος, Αθήνα, ISBN: 978-960-461-578-0
• [In Greek] Κωστόπουλος Σ.Δ. (2008), ""Γεωτεχνικές Κατασκευές Ι (2η έκδοση)"", Εκδόσεις Ίων, ISBN: 960- 411-563-4
• [In Greek] Bowles J.E. (2009), ""Θεμελιώσεις: Τόμος Ι"", Εκδόσεις Φούντας, Αθήνα, ISBN:978960330665-8
• [In Greek] Πενέλης Γ., Στυλιανίδης Κ., Κάππος Α., Ιγνατάκης Χ. (2008), ""Κατασκευές από Οπλισμένο Σκυρόδεμα σύμφωνα με τους Νέους Κανονισμούς Ο/Σ (2η έκδοση)"", Εκδόσεις Αϊβάζης, Θεσσαλονίκη, ISBN: 978-960-86090-9-9",,,ΚΙΡΤΑΣ + ΔΑΝΙΗΛ
36,ΣΥΓ005,Highway Engineering IΙ,Engineering,Civil Engineering,Undergraduate,6th,,4,4,,,,Scientific Field,,,Greek,No,https://elearning.cm.ihu.gr/course/view.php?id=744,"Upon completing this course students should be able to recognize the construction procedure of road projects, earthworks calculation, road drainage, construction procedures of flexible pavements, rigid pavements, pavement maintenance and rehabilitation, and pavement management and recycling. ","-Search for, analysis and synthesis of data and information, with the use of the necessary technology 
-Adapting to new situations 
-Decision-making 
-Project planning and management 
_Respect for the natural environment","Road construction, earthworks and engineering projects, geological and geotechnical investigation of road design, soils: origin and physical properties, construction equipment and execution of earthworks, cuttings, embankments, geosynthtetic materials in road engineering, landslides and slope stability, cut and cover method, reinforced embankments, road drainage works, culverts, environmental impacts of road construction, road earthworks, earthworks management, flexible pavement layers, flexible pavements design methods, rigid pavements, pavement maintenance and rehabilitation, pavement management, pavement recycling.",,,Face to face,"Powerpoint presentations, E-learning platform for educational material. ",Lectures,52,Individual study,52,,,,,,,104,"Final written exam (100%) which includes:
- Open ended questions 
- Problem solving questions (exercises)
The evaluation criteria are presented in the 1st lecture of the semester to all students. Furthermore, each student can see his graded exam/ written assignment paper and talk on the analysis of his written performance with the professor.","• [In Greek] Αποστολέρης, Α.Κ. (2015). Οδοποιία Ι – Χαράξεις και Υπολογισμός Χωματισμός, Θεωρία και Πρακτική. Αναστάσιος Κ. Αποστολέρης, ΑΠΟΣΤΟΛΕΡΗΣ ΚΑΙ ΣΙΑ Ο.Ε., ISBN: 9789609371735.
• [In Greek] Μουρατίδης, Α.Κ. (2007). Οδοποιία, Η κατασκευή των οδικών έργων. University Studio Press, ISBN: 978-960-12-1399-6.
• [In Greek] Νικολαΐδης, Αθ. Φ. (2019). Οδοποιία: Οδοστρώματα - Υλικά - Έλεγχος Ποιότητας. ΙΚΑΝΙΚ Ι.Κ.Ε., ISBN: 978-618-84166-0-4.
• [In Greek] Οδηγίες Μελετών Οδικών Έργων, Τεύχος 2: Διατομές (ΟΜΟΕ-Δ), ΥΠΕΧΩΔΕ, ΓΓΔΕ/ΔΜΕΟ, Έκδοση: 30/01/2001.
• [In Greek] Οδηγίες Μελετών Οδικών Έργων, Τεύχος 3: Χαράξεις (ΟΜΟΕ-Χ), ΥΠΕΧΩΔΕ, ΓΓΔΕ/ΔΜΕΟ, Έκδοση: 30/01/2001.
• [In Greek] Οδηγίες Μελετών Οδικών Έργων, Τεύχος 8: Αποχέτευση - Στράγγιση - Υδραυλικά Έργα Οδών (ΟΜΟΕ-ΑΣΥΕΟ), ΥΠΕΧΩΔΕ, ΓΓΔΕ/ΔΜΕΟ, Έκδοση: 2/11/2002.",,,ΓΑΛΑΝΗΣ - ΔΑΝΙΗΛ - ΒΛΑΧΟΝΑΣΙΟΥ
37,ΔΟΜ015,Dynamics of Structures I,Engineering,Civil Engineering,Undergraduate,6th,,4,5,,,,Scientific Field,,,Greek,No,https://elearning.cm.ihu.gr/,Understand how structures respond to dynamic loads. Evaluate the critical parameters that affect the structural dynamic response. Construct and solve (analytically and/or computationally) the equation of motions for sdof and mdof systems. Interpret and use earthquake response and design spectra.,"-Search for, analysis and synthesis of data and information, with the use of the necessary technology 
-Adapting to new situations 
-Decision-making 
-Working independently 
-Team work
-Working in an interdisciplinary environment 
-Project planning and management 
-Criticism and self-criticism 
-Production of free, creative and inductive thinking","Differences between static and dynamic response of structures. Dynamic loads. Degrees of freedom. Formulation of equation of motion.
Systems with one degree of freedom (sdof):
Free undamped and damped vibrations. Forced vibrations under harmonic and impulsive forces.
Forced undamped and damped vibrations for any external load. Duhamel integral. 
Response under ground motion. Numerical calculation of dynamic response.Response spectra.
Systems with many degrees of freedom (mdof):
Formulation of mass and stiffness matrices. Free vibration. Eigenfrequencieses and modeal shapes. Orthogonality properties.
Forced vibations. Generalized mass, stiffness, external force. Decoupling techniques for the evaluation of dynamic response.",,,Face to face,"Communication via e-mail and Zoom platform.
Additional material is provided via a dedicated e-learning  website.",Lectures,40,Practice/exercises,12,Individual study,78,,,,,130,"Formative evaluation consisted of: 
1.Non-compulsory intermediate tests (2 to 3 in total) focused on solving problems (30% of final mark)
2. Final written exams that includes: a. Theoretical questions of knowledge and critical thinking and b .Solving of problems-exercises (70% of final mark)","A.Chopra (2016), Dynamics of Structures, Prentice-hall International Series",,,ΚΟΛΙΟΠΟΥΛΟΣ
