Κωδικός,Γνωστικό αντικείμενο,Επιστημονικό πεδίο,Εξωτερικοί Ιδίου,Εξωτερικοί Συναφούς
565,Σχεδιασμός και Αποτίμηση Κατασκευών από Σκυρόδεμα και Φέρουσα Τοιχοποιία,Κατασκευές Οπλισμένου Σκυροδέματος,1089-1177-3087-4391-7824-8104-8821-10800-13819-14962-16573-17376-17521-17547-18222-18803-19152-20139-22964-24857-25803,4279-10168-12725-16057-17993-18768-18916-19424-20766-21586-22815
566,Σεισμική Επιτελεστικότητα Χαλύβδινων Κατασκευών,Μεταλλικές Κατασκευές,4279-5057-5392-8002-12725-16134-17254-17889-19424-20766-21919-25665-28421,4943-5357-5512-6099-8605-10181-13846-14962-15113-16573-18088-19089-20139-24857-28349-31149-38456
567,Πειραματική Διερεύνηση Χαλύβδινων Κατασκευών,Μεταλλικές Κατασκευές,4279-5057-8002-8605-13846-15113-16134-17254-17889-20766-25665-28349-28421-38456,3728-4943-5380-5392-5509-5512-9503-12725-18088-19424-31149
568,Μεταλλικές Χωροκατασκευές,Μεταλλικές Κατασκευές,4279-4943-15113-17254-18088-28349-28421-31149,5057-5380-5392-5509-5512-8002-8605-12725-13846-16134-17889-19424-20766-25665-38456
569,Αρχιτεκτονικός Σχεδιασμός και Δημόσιος Χώρος,Αρχιτεκτονικός Σχεδιασμός και Δομημένο Περιβάλλον,607-1092-6493,3014-3764-7128-7372-7462-12975-13088-13462-14265-14349-14833-17855-18669-19001-19014-19051-19249-19253-19473-21792-25805-26743-27030
570,Αρχιτεκτονικός Σχεδιασμός: Τεχνικές Αναπαράστασης του Χώρου και Τεχνολογίες Οικοδομικών Κατασκευών.,Αρχιτεκτονικός Σχεδιασμός και Δομημένο Περιβάλλον,3014-8518-15364-17986,1471-6493-10526-10801-12112-12213-13088-14791-14833-15218-15930-16097-18303-18404-18950-19001-21393-22605-23197-25805-25974-26743-27571
571,"Αποκατάσταση, Παθολογία και Επανάχρηση Ιστορικών Κτηρίων και Συνόλων - Οικοδομική",Αρχιτεκτονικός Σχεδιασμός και Δομημένο Περιβάλλον,,2145-4352-4715-5951-7529-11377-11685-11842-12077-12112-12973-13088-15120-16342-18544-19315-19501-19501-22605-23197-23645-25805-25974
572,Τεχνική Γεωλογία - Βραχομηχανική,Γεωλογία,4475-4984-10244-13087-18427-22320,185-1753-2623-2843-4046-6583-7865-7914-8320-9186-9188-10163-11716-17701-18093-18826-18855-19601-22760
573,Τεχνική Σεισμολογία,Γεωλογία,7655-8272-10163-18384-18576-19907-19943,185-2027-2641-3586-4046-6659-8188-8320-8599-9188-17582-17773-17854-18944-19460-19601-27736
574,Θεωρητική και Εφαρμοσμένη Εδαφομηχανική - Εδαφοδυναμική,Γεωτεχνική Μηχανική,583-9188-18930-19546-22567,203-1962-2402-2705-2878-3306-4557-4984-8071-8188-8431-8808-9808-11706-12797-15300-16621-17817-18415-19089-19907-19943-20139-20827-22320-22760-23862-28895-29077-36265
575,Θεμελιώσεις - Αντιστηρίξεις,Γεωτεχνική Μηχανική,2878-8431-23862-28895,583-1962-2705-2910-3306-4557-4984-8071-8808-9188-9808-11706-12797-15300-16621-17817-18415-18930-19089-19546-20827-22567-22760-23409-29077-36265
576,Γεωκατασκευές - Υπόγεια Έργα,Γεωτεχνική Μηχανική,583-7865-20827-22760,203-1962-2705-2878-3306-4557-4984-8071-8431-8808-9188-9808-11706-12797-15300-16621-17817-18415-18930-19089-19546-22320-22567-23409-23862-28895-29077-36265
577,Γεωπεριβαλλοντική Μηχανική,Γεωτεχνική Μηχανική,2610-19622,203-583-1962-2705-2878-2986-4984-6800-8071-8431-9188-9808-11706-12797-15300-15704-17519-17817-18415-18930-19089-19546-19583-20827-22320-22567-22760-23409-23862-28895-29077-36265
578,Πειραματική Εδαφομηχανική - Εδαφοδυναμική,Γεωτεχνική Μηχανική,8071-9808-12797-17817-18930,583-1962-2402-2705-2878-3306-4984-8188-8431-8808-9188-11706-15300-16621-18415-19546-19907-20139-20827-22567-22760-23862-28895-29077-36265
579,Σεισμική συμπεριφορά και αλληλεπίδραση εδάφους-κατασκευής,Γεωτεχνική Μηχανική,9188-16621-20827-23862-28895-29077-36265,583-1962-2402-2705-2878-2910-3306-4557-4984-6583-7865-8071-8188-8431-8808-9808-11706-12797-15300-17817-18415-18930-19089-19546-19907-19943-20139-22320-22567-22760
580,Υπολογιστική Γεωτεχνική Μηχανική,Γεωτεχνική Μηχανική,2878-8431-16621-36265,583-1962-2705-3306-4557-4984-8071-8188-8808-9188-11706-12797-15300-17817-18415-19089-19546-20139-20827-22567-22760-23862-28895-29077
581,Διακινδύνευση Γεωτεχνικών Έργων,Γεωτεχνική Μηχανική,9188-12797-18415-23862,583-1962-2705-2878-3306-4984-7865-8071-8188-8431-8808-9808-11706-15300-16621-17817-19089-19546-20139-20827-22320-22567-22760-28895-29077-36265
582,Θαλάσσια Έργα,Υδρομηχανική,361-866-1401-16416-16697-17383-18698-20876-26136,51-472-2417-2874-4662-8166-10849-14649-17192-17716-18775-19022-19132-19576-21798-24711
583,Θαλάσσια Υδραυλική και Ακτομηχανική,Υδρομηχανική,472-866-1401-8166-16416-18698-19576-24711,51-361-947-2278-2874-7819-9207-10849-14649-16697-17192-17243-17383-17716-18775-19022-19637-19644-20876
584,Υδραυλική Ανοικτών Αγωγών,Υδρομηχανική,7714-17192-19022-19817-21798-24711,51-74-351-472-866-950-1267-2417-3537-4675-5715-7493-7583-10458-15354-16416-17430-18432-18775-19157-21729
585,Πειραματική Υδραυλική Μηχανική,Υδρομηχανική,17192-19022,51-74-351-472-950-1267-3537-4675-5715-7493-7714-10458-15354-17430-18775-19013-19132-19157-19961-20556-21729-21798-24711-25041
586,Σχεδιασμός και Ανάλυση Συστημάτων Ύδρευσης και Αποχέτευσης,Υδρομηχανική,7714-17192-19013-19022-19210-21798,351-472-1267-2659-3537-4675-5715-7493-7583-10458-15354-17430-18432-18775-20556-21729-24711
587,Υπόγεια Υδραυλική,Τεχνική Περιβάλλοντος και Υδατικοί Πόροι,21-8956-17192-18432-18775-19022-19100-21798,1267-1267-2417-3537-3817-4656-4675-7714-8134-8956-10413-10458-15354-15402-17430-17792-18661-19157-21729
588,Τεχνική Υδρολογία και Διαχείριση Υδάτικων Πόρων,Τεχνική Περιβάλλοντος και Υδατικοί Πόροι,1267-4656-4675-5715-10413-10458-15354-17792-18661-21798,21-351-1267-2417-3537-3817-7301-7714-8134-8956-15402-17243-17430-17666-17788-18432-19157-21729
589,"Αποτίμηση και Επεξεργασία Νερού, Υγρών και Στερεών Αποβλήτων",Τεχνική Περιβάλλοντος και Υδατικοί Πόροι,7707-19013-19210-20556-23475-25041,3113-4619-4959-6615-7648-8706-9198-9779-10153-16380-17580-17788-17792-17937-17937-18010-19022-21729
590,Περιβαλλοντική Ρευστομηχανική,Τεχνική Περιβάλλοντος και Υδατικοί Πόροι,472-9958-17243-18173-19022-19566,51-1267-1267-2417-2874-6615-7493-7714-8956-10458-10830-17430-17604-18432-18775-19345-19637-23475
591,Γεωδαισία και Γεωγραφικά Συστήματα Πληροφοριών,Τοπογραφία - Γεωπληροφορική,,399-887-2220-3042-3632-4611-4620-4779-4894-5311-5919-6414-10183-10202-11140-17218-17326-17639-17686-17702-17795-17924-18079-18406-18629-18743-18966-19001-19071-19191-19515-19656-23409
592,Προγραμματισμός και Διαχείριση Τεχνικών Έργων,Διοίκηση και Διαχείριση Τεχνικών Έργων,20113,406-514-517-941-2237-5758-6414-9068-9243-11317-11864-17424-17488-18462-20118-20828-22264-22278-22609-24042-29302
593,Οργάνωση Εργοταξίου και Δομικές Μηχανές,Διοίκηση και Διαχείριση Τεχνικών Έργων,,406-514-517-941-2237-5758-6414-9068-9243-11317-11864-17424-17488-18462-20113-20118-20828-22264-22278-22609-24042-29302
594,Σχεδιασμός και Χάραξη Οδών,Μεταφορές,1287-13154-19944,413-3697-4329-5955-7202-8444-8884-8999-9702-10251-10498-12090-12131-13355-13431-17495-18765-18779-20667-23070-25253-25473-30653
595,Διαχείριση Οδικών Έργων και Κυκλοφορίας,Μεταφορές,,413-1287-3697-4329-5955-7202-8444-8884-8999-9702-10251-12131-13154-13355-13431-17495-18765-18779-19944-20667-23070-25473-30653
596,Σχεδιασμός των Μεταφορών και Κυκλοφοριακή Τεχνική,Μεταφορές,,413-1287-3697-4329-4830-5344-5955-6758-7202-8444-8884-8999-10251-10498-12131-12617-13154-13355-13431-17495-18765-18779-19944-20667-23070-25473-30653
597,Συστήματα Αστικών Μεταφορών και Βιώσιμη Κινητικότητα,Μεταφορές,,413-1287-3697-4329-5344-5955-6758-7202-8444-8884-8999-10251-10498-12131-12617-13154-13355-13431-17495-18765-18779-19944-20667-23070-25473-30653
598,Επιπτώσεις Μεταφορικών Συστημάτων και Υποδομών στο Περιβάλλον,Μεταφορές,,413-3697-4329-5344-6371-6758-7202-8444-8999-10251-10498-12131-12617-13154-13355-13431-17495-18765-18779-19944-20667-30653
599,Σιδηροδρομικές Μεταφορές,Μεταφορές,,413-1287-3697-4830-5344-7202-8366-8444-8999-12131-12617-13154-13355-13431-17495-18765-18779-19038-19944-20667-30653
600,Θαλάσσιες Μεταφορές,Μεταφορές,,413-517-3697-4830-5023-5150-5344-6371-6758-7202-7228-8366-8999-10498-12131-13431-18765-18779-20667-30653
601,Αεροπορικές Μεταφορές,Μεταφορές,,413-1287-3697-4329-5344-7202-8366-8444-8999-9702-10251-10498-12090-12131-13154-13431-18765-18779-19944-20667-25253-30653
602,Διαφορικές Εξισώσεις και Εφαρμογές,Θετικών Επιστημών,13-3529-3667-4017-4915-5109-6130-6742-11844-13422-15394-17630-17770-18633-19305-19842,1592-3355-3883-5246-6060-6476-8811-9255-10164-11144-11177-16543-17261-19233
603,Αριθμητική Ανάλυση,Θετικών Επιστημών,51-3355-3853-4948-6746-6828-10595-17516-17889-17967-18256-18955,13-3883-6615-9254-9969-11844-13422-15394-17850-17939-18443-18580-19022-19305-22573-26737
604,Πιθανότητες και Στατιστική,Θετικών Επιστημών,306-756-916-1636-1685-2953-5761-6535-6999-9325-11594-14239-17286-17307-17408-17498-18268-18558-18866-19153-19377-19647-19805-21263-21443,5111-5932-8244-8355-9830-17551-17880-18580-18729-19875
605,Θεωρητική Μηχανική – Δυναμική,Θετικών Επιστημών,13-817-3392-4915-11844-13422-15394-17733-19305-19462-32216,1592-2174-2417-2918-3355-4017-4505-4814-4943-5246-6060-6130-6456-6476-7651-10181-11162-11177-18697-18740-19233-19257-19469-19946
606,Προγραμματισμός Η/Υ και Υπολογιστικές Εφαρμογές σε Έργα Πολιτικού Μηχανικού,Θετικών Επιστημών,51-2417-6828-17889-17939-18854-18955-19022,13-378-866-4538-4948-7714-9255-10595-11844-13422-13819-16416-17192-17430-17516-17850-18045-18222-18698-18775-18803-20139-20766-21798-24711
